PID,Social Media Post,Normalized Claim
36,Updated UK government assessment for Pfizer COVID-19 Vaccine: https://gov.uk/government/publications/regulatory-approval-of-pfizer-biontech-vaccine-for-covid-19/summary-public-assessment-report-for-pfizerbiontech-covid-19-vaccine,U.K. has revoked covid vaccine for pregnant women
37,"""The benefit of the vaccine in no way outweigh the risks.""
Denmark suspends Covid vax program after study of 23 million people raises health alarms",Denmark paused the covid vaccination program due to increased risk of myocarditis
38,"So you're going to receive a text message on your phone. If you don't reply to that text message, basically, the use of your phone is going to be limited so they're going to put your phone off for the day.",Mobile phone networks are in breach of GDPR by providing your phone number to another agency to allow emergency alerts.
39,"Landslide Victory In Gujarat. 
 Scene From One Of The Strong Rooms In That State
 Bhavnagar Constituency.","Landslide Victory In Gujarat.

Scene From One Of The Strong Rooms In That State

Bhavnagar Constituency."
40,"This is the guy who added his infected blood to Pepsi. For the next few weeks do not drink any products from Pepsi, as a worker from the company has added his blood contaminated with HIV(AIDS). Brothers and sisters please this message to the people who u care",Man shown in the picture has added his HIV-infected blood to Pepsi. Do not consume Pepsi for the next few weeks
41,The Chinese Balloon has been shot down after Biden called the Chinese President and asked for his permission to shoot it down.,Biden asked China for permission to shoot down spy balloon
42,"Unsurprisingly, the only two regimes to ever regulated stargazing have been the inquisition and 
 @NYGovCuomo",“State Forces Citizens to Pay for ‘Stargazing Permit’ to View Night Sky in Public Parks”
43,"This is a Rohingya family. Destitute on a road in Delhi. Together with 8 children, 3 wives, out of which 2 are also pregnant. In hand is Samsung C7 pro mobile which costs only Rs 29,000. The opposition is sad to see their condition, so keep paying taxes on time","This is a Rohingya family. Destitute on a road in Delhi. Together with 8 children, 3 wives, out of which 2 are also pregnant. In hand is Samsung C7 pro mobile which costs only Rs 29,000. The opposition is sad to see their condition"
44,"Planned by then CM Modi, inaugurated by PM Modi, Jamnagar-Junagarh highway bridge collapsed within 3 months of inauguration!",The collapsed ‘Jamnagar-Junagarh highway bridge’ was inaugurated by PM Modi three months ago.
45,"Anything Is Possible With Yogiraj.  Got a job for those who smoke ganja
salary more than 80 lakhs.",Anything Is Possible With Yogiraj
46,Japan's dressing room after Costa Rica match.,Japan’s dressing room after the Costa Rica match.
47,"Had this floating around my family WhatsApp threads. Looks like spam? 
 
 Getting trough family panic and anti-China paranoia about Coronavirus is proving hard enough as it is.","Coronavirus stays on fabric for 9 hours, so washing clothes or being exposed to the sun for two hours meets the purpose of killing it."
48,The plane of Indonesia passengers has a narrow escape,Indonesia का जहाज़ मुसाफीर के साथ बाल बाल बचा•
49,"If you are experiencing pregnancy complications and your doctor tells you that abortion is necessary, find a new doctor. You and your baby deserve better. Abortion is never medically necessary to save the life of the mother.",abortions are never medically necessary
50,"Amul 75th Anniversary! Click to enter to participate in the survey, have a chance to win 6000 Rupee!","Amul 75th Anniversary! Click to enter to participate in the survey, have a chance to win 6000 Rupee!"
51,"Another in a series of lies spread by Modi .. !!
 #Modi",PM Narendra Modi credited first Metro service in the country to Atal Bihari Vajpayee
52,"2020:
 Peak active cases - 9,034,460
 Vaccinated - 0%
 
 2021:
 Peak active cases - 9,243,682
 Vaccinated - 71%
 
 I hate to break this to you, but this not a ""pandemic of the unvaccinated.""","""Peak active cases” of COVID-19 for 2020 vs. 2021 show “this is not a ‘pandemic of the unvaccinated.'"""
53,"We're going to celebrate our grand opening by doing something special for you. We will be rewarding someone who has shared then commented by February 13th with a 10 night stay for 2 people in a 4* all inclusive hotel. Don't worry about flights and transfers, it's all included. You will have 2 years to use the holiday",People who share then comment on a Facebook post will be given the chance to win a holiday.
54,BJP has won elections in Gujarat and Himachal Pradesh through EVM Hacking: TS Krishnamurthy pre-election commissioner,BJP has won elections in Gujarat and Himachal Pradesh through EVM Hacking: TS Krishnamurthy pre-election commissioner
55,Aussie with the real talk,"In Australia, a “17% increase in heart attack deaths” in the first eight months of 2022 is linked to COVID-19 vaccination."
56,"DID YOU KNOW?
Natural cures89
Dandelion root is able to kill 98% of cancer cells within 48 hours. Not only that, but it acts as a powerful anti- inflammatory, immune booster, antioxidant and organ detoxifier",Dandelion root is able to kill 98% of cancer cells within 48 hours.
57,"Atheist in in Indian context is only a Hindu non believer of his own hereditary faith but owing allegiance to other faiths. That too to Christianity.
 Pl be informed of this clarification","Pictures of South Indian actor turned politician, Prakash Raj, have gone viral with a claim that he has become a Christian. We found that the pictures were real but not from the same context that’s shared in social media messages."
58,Not sure if he is prophesying or planning? Has anyone read the chapter that this passage belongs to?,"Thousands in Spain, Israel and Portugal have taken to the streets in protest against the effects of World Economic Forum globalism."
59,"Hold off on the ""voting doesn't work"" Doomers. Voting didn't work previously. Now we are onto their schemes.
 
 I'm going until the next election for President.
 
 I expect this one to be a haggard mess. If it doesn't get sorted out and accountability applied by the next one I'll join you in your misery.","“Joe Biden announced to the world tonight that they are going to cheat by dumping ballots.”
"
60,"I think [this study is] very likely to be correct. I'd see no reason to doubt it. More importantly, it's exactly what any immunologist would expect to be true",Research from Israel suggests that the Pfizer vaccine is much less protective against Covid-19 than natural immunity from catching the disease.
61,"Hello my name is Kane Stewart. I was born here in #Leyland, June 17 1973 looking for my birth mother or father. Mother's name is Cathy M Evans and she was only 16 at time of my birth. That's all info I have. Please help me reunite with my family by #SHARING",A Facebook user is searching for their birth mother or father.
62,Really bad news! The Baltimore house of Elijah Cummings was robbed. Too bad!,"""Elijah Cummings’ house was broken into after Trump publicly attacked him on Twitter."""
63,"30 mins long but well worth a watch and just what we need , great work from this fella reporting a criminal offence committed by someone in public office",The vaccines contain polysorbate 80 and that is known to cause fertility issues.
64,This is great can post this to people that argue with me now. Would be great if we can find the original link though,A poster from the MHRA makes various claims about the vaccines and importance of Yellow Card reports.
65,"From 18th June (Saturday last week) till August 2022 this year, it will be colder than previous years. They call it Aphelion phenomenon starting from tomorrow @ 05.22 we will experience the Aphelion phenomenon where the Earth will be very far from the sun. We cannot see the phenomenon but we can feel its impact. This will last until August 2022, we will experience cold weather which will have an impact on flu, cough, shortness of breath etc.Therefore, let's all increase immunity by *drinking lots of vitamins or supplement* so that our immunity will be strong.The distance from Earth to Sun is 5 light minutes of 90,000,000km the phenomenon of Aphelion to 152,000,000 km 6.6 % farther. Protect your body from cold, wear warm cloths, *drink vitamins & supplements* to boost your immunity.","Several social media posts claim the aphelion phenomenon will increase Earth’s temperature till august. We fact-checked and found the claim to be False. The aphelion phenomenon affects the duration of weather, not the intensity."
66,Officers have been subjected to considerable levels of abuse and violence. One suffered a broken arm and another suffered broken ribs. Both have been taken to hospital,Police officers suffered broken bones at a Bristol protest.
67,One in a hundred children will actually get sick enough [with Covid] to be admitted to hospital,One in 100 children who catch Covid-19 get sick enough with the disease to be admitted to hospital.
68,"Gosh! Okay... I, Pete Buttigieg, politician, do henceforth and forthwith declare, most affirmatively and indubitably, unto the ages, that I do favor Medicare for All, as I do favor any measure that would help get all Americans covered. Now if you'll excuse me, potholes await.","Says that Amazon ""is literally paying zero in taxes."""
69,"Re: USPS:
 1. USPS has been losing billions for 14 straight years.
 2. USPS services have been adjusting to covid-19.
 3. USPS has enough liquidity to operate through mid-2021. 
 4. The problem with mail-in voting right now is that state election standards don't match USPS practices.","Says Ben Shapiro tweeted, “The USPS is not only a bloated and outdate government agency, it is also ineffective and incompetent. It’s been 2 months since my wife went on a Hawaii vacation with her personal trainer; she said she would send me postcards every day and so far none of them have arrived.”"
70,"ANTI-POISON.

There are many snakes with a very poisonous venom that kills within some hours

If your a victim of snakes bites or poison, just look for a cashew tree, use your cutlass to get the bark of the cashew tree, and chew the bark of the tree

As you chew, swallow the water, don't swallow the chaff. It will neutralize every poisonous substance from the snake even if it's an Anaconda bite.

Very effective and powerful to destroy snake venoms.

You can keep the bark for any emergency, even if it's a dry one, just soak it in water. it doesn't spoil, it can be kept for years

God has blessed us with so many herbs but many don't know it.",Eating cashew nut tree bark neutralize snake venom
71,"AN ULTIMATE SOLUTION TO TYPHOID AND A BLOOD BOOSTER

Sometimes because you don't pay for these remedies or because I'm not a medical doctor,you don't value the information,some great information's doesn't cost you a penny and it saves life's

This is Coconut peel, for typhoid or to boost your blood dry it very well with sun and cook it with a pinch of potash,drink a cup morning and night

Check yourself withing two weeks and see how typhoid will fly away

The professor 2347045240525

#typhoid #chronicdisease #bloodbooster",coconut choir infused water can cure typhoid
72,there is a growing concern that a SARS-CoV-2 related inflammatory syndrome is emerging in children in the UK,The NHS has issued a letter saying that some children infected with coronavirus have been exhibiting symptoms similar to toxic shock syndrome.
73,"Thanks, Joe!","Joe Biden Said  ""We cannot win this re-election. We can only re-elect Donald Trump."""
74,Tree Carving North kashmir dogripora.,Tree carved in shape of hand is located in Kashmir
75,"100% of COVID Deaths in Canada Now Due to mRNA Vaccine, New Data Shows!
 #coronavirus #COVID19 #wuhan #china #disease #canada #death #data #science #health #facts #ccp",100% of COVID-19 deaths in Canada now due to mRNA vaccine
76,"Georgia: Voter ID, 17 days of early voting.
 Colorado: Voter ID, 15 days of early voting.
 
 Atlanta is 51% Black.
 Denver is 9.2% Black.
 
 The 
 @MLB
  is moving the #MLBAllStarGame out of ATL which has more day-of voting rights than CO? 
 
 The Wokes are at it again, folks.","Georgia ""has more day-of voting rights than CO."""
77,"According to the writings of the soulless dehumanised future the WEF have planned. We won't need animal charities because we'll cease to have pets and eat meat. We will become more android in our needs.
I think animals are very important, very special and very much appreciated as companions. These soulless God players are abundant in their greed and need for power. They don't want family life to exist, so they fake concerns for minority groups who think they're being liberated, yet their liberation draws them closer to the need for government handouts and control. Like moths to a flame, they're drawn in.
The breakdown of the family unit is as essential as the breakup of nation states for their plans to come to fruition.
Meanwhile nations like Russia and China concentrate on nothing but the nation state. Making them stronger through trade and military capabilities. Our politicians are either culpable in our demise or too dumb to see it.","According to the future the World Economic Forum has planned, we won't need animal charities because we'll cease to have pets and eat meat."
78,"Guys, If you want a 1000 GB Free Data on your mobile number, Please give a missed call on 8866288662 from your mobile number.. also chance to win IPhone X on lucky draw
 
 Offer valid till tonight.
 
 Don't miss the chance 
 
 Hurry up #india",support number for free netflix data and sex chat to promote bjps caa
79,"The facts are there are no new dentists, no new contract and no new money",There are now more NHS dentists across the UK.
80,"Something bad just went down near Morgantown, WV
 
 A Moderna shipment truck crashed, hazmat dispatched, airspace shut down and now apparently Emergency Response is claiming the Department of Defense took it over","“Near Morgantown, WV, a Moderna shipment truck crashed, hazmat dispatched, airspace shut down and now apparently Emergency Response is claiming the Department of Defense took it over.”"
81,"In 1928, Walt Disney created Mickey Mouse. Nobody could have predicted the impact Mickey would have nearly a century later. He is still the Walt Disney Company's dominant figure and the face of Disney. However, in 2024, Figment will take over as the official Disney mascot from Mickey Mouse.
 
 The decision to remove Mickey Mouse as Disney's official mascot was motivated primarily by legal concerns. Mickey Mouse's copyright protection is set to expire in January 2024. This means that Mickey Mouse will be in the public domain and anyone will be able to use him. Disney's famous mouse will no longer have the same level of legal protection.
 
 via @mousetrapnews",The claim: Mickey Mouse will be replaced as the official Disney mascot
82,"The effects seen in observational studies of mask wearing will be confounded by other protective behaviours not accounted for during adjustment,","Mask-wearing cuts Covid incidence by 53%, says global study."
83,"The respect AAP has eared in 3 months, great insult",Seems to have earned good respect in 3 months
84,Covid came from snake venom,Covid originated from snake venom
85,"Turmeric and lemon are two simple, cheap and handy things you can use regularly to fight #CoronaVirus. Homemade rasam is also very useful",Turmeric and lemon help fight against coronavirus
86,"under no circumstance should our disinfectant products be administered into the human body (through injection, ingestion or any other route)",Dettol antiseptic spray says it kills human coronavirus.
87,"Wow, Report Just Out! Google manipulated from 2.6 million to 16 million votes for Hillary Clinton in 2016 Election! This was put out by a Clinton supporter, not a Trump Supporter! Google should be sued. My victory was even bigger than thought! 
 @JudicialWatch","""Wow, Report Just Out! Google manipulated from 2.6 million to 16 million votes for Hillary Clinton in 2016 Election!"""
88,Argos is selling 100 electric scooters at a special price this week. Get in on the action! All that's left to do is pay for shipping! Find out or you're in luck.,Argos is offering electric scooters and air fryers for £3 in a time-limited deal.
89,this is what the leader of our country just said about the f***ing energy crisis,Boris Johnson suggested buying a new kettle to save £10 a year on energy bills.
90,"No Need of Angioplasty or Bypass Natural therapy for opening the veins of Heart Lemon juice -1 Cup Ginger juice -1 Cup Garlic juice - 1 Cup Apple Vinegar -1 Cup 0/Dallyl-lealtM1Gen Mix all above and boil in light flame, when if become three cups,take it off and cool down. Now mix it with 3 cups of natural honey and keep it in a clean bottle. How To Take: Take one tablespoon of this juice daily before breakfast. Your blockage from veins will disappears slowly.",home remedies can replace angioplasty or bypass surgery
91,PUBLIC HEALTH WARNING ISSUED FOR FLUORIDE TOOTHPASTE. AVOID THESE BRANDS AT ALL COSTS. Link below,A “public health warning” was recently issued for fluoride toothpaste.
92,news post,President Donald Trump nominated himself to the Supreme Court
93,"Less than 100 people have died directly from corona virus in ireland .
It is not a Pandemic if it was that bad do you think leo would be in the pheonix park with friends ???
This is a scam",Fewer than 100 people have died directly from Covid-19 in Ireland
94,"People need to understand that a tumour is there to save your life. When your body is full of poison, toxaemic and acidosis and you are basically going to die of that poison - your body builds a bag and collects all of that poison from your body in this bag, which they call a tumour","A tumour is a bag that collects poison from your body. A needle biopsy explodes the tumour and pours poison into the body, giving you cancer."
95,"So they want us to believe that the same states that Republican Senators won are too close to call for the Republican President?
Fraud!",The election is fraudulent because states that won Republican Senate seats can’t yet be called for a Republican president
96,I want you to truly understand that currently there is a 100% #False Positive Rate because what the PCR is looking for is something that nobody knows.,PCR tests for Covid-19 have a 100% false positive rate.
97,Rest In Peace Mino.,"“Italian football agent Mino Raiola has died after suffering from an illness.”
"
98,"You science IS politics.

All the RCTs show no or essentially no effect for (cloth or surgical) masks, and an understanding of aerosols shows why.

The vaccines are poor, and unnecessary for most people as they have low risks and/or natural immunity.

Ventilation works.",masks are ineffective and vaccines unnecessary for most of the people
99,U.S. Health and Human Services Director Xavier Becerra said Covid vaccines are killing people of color at twice the rate of white people.,"After the U.S. Health and Human Services Director Xavier Becerra claimed that covid vaccines are killing people of colour, several social media users have shared an article that covered the news. We fact-checked and found the claim to be False."
100,Mukhtar Abbas Naqvi changed his religion,Mukhtar Abbas Naqvi changed his religion
101,"An Angry Ranbir Kapoor Throws Fan's Phone As He Tries To Click Selfie - Watch.
 
 #TNShorts",An Angry Ranbir Kapoor Throws Fan’s Phone As He Tries To Click Selfie – Watch
102,"These cucks actually think we're going to let them do this?
They just united the population of THREE SEPERATE COUNTRIES to stand together against them.",The claim: President Joe Biden signed away US sovereignty
103,Get Periods in 1-2 Days With These Home Remedies,you can induce menstrual periods early with home remedies
104,"DID YOU KNOW? 
While brushing in the morning , brush your teeth with the help of that hand which you don't use for writing. Doing this will wake you up and make you feel refreshed much faster than usual.","According to an Instagram post, brushing teeth with a non-dominant hand may improve brain function. We verified that the claim overestimates the benefits of brushing with the non-writing hand. Since, brushing with the non–dominant hand would compromise oral hygiene. Thus, our findings suggest that the assertion is Mostly False."
105,There is no plausible mechanism by which any vaccine ingredient could pass to your baby through breast milk.,"Vaccines are incompatible with human life, and being vaccinated while pregnant or breastfeeding may be unsafe."
106,"Fauci is now saying that had Trump listened to the medical experts earlier he could've saved more lives.
 
 Fauci was telling people on February 29th that there was nothing to worry about and it posed no threat to the US public at large. 
 
 Time to #FireFauci...","Says of COVID-19 that Dr. Anthony Fauci ""was telling people on February 29th that there was nothing to worry about and it posed no threat to the US public at large."""
107,"So Sad ,A newborn found in Swansea dumpster this morning at 4am .We will keep you posted when we know more. Currently baby is alive but is critical. Pray for this newborn as the doctors work to save his life. Investigators are searching for the parents of the baby contact the authorities if you have any information regarding this. [sic]",A newborn baby boy has been found in a Swansea dumpster in February 2023.
108,"Liz Truss doesn't like this response from her dad - please do not retweet, copy or like","Liz Truss’s father has tweeted saying she could not tie her shoelaces until she was 12, and asking her to “turn against fascism”."
109,"Double L MC, out on the streets sharing his findings..
Well worth watching..
Double L MC, has broken down and made the connections for you to see as clear as possible...
His podcasts 'RISE ABOVE' on YouTube are enlightening to those who still need more information about what is going on in the World right now and worth checking out...
It's up to you to expand your knowledge or to at least look at thing's from a different angle when your future is on the line...
Humans can and do change when faced with precipitous decisions...
Respect and thanks to my good friend (Clarkie) for sharing..","The Pirbright Institute has the main patent for coronavirus, which was granted by Serco."
110,"Huge procession in support of #CAB in Maharashtra and Himachal Pradesh which media people will not show you!!
",Images of people in Himachal Pradesh and Maharashtra rallying in support of the Citizenship Amendment Bill (CAB).
111,"The United States was supposed to be in Syria for 30 days, that was many years ago. We stayed and got deeper and deeper into battle with no aim in sight. When I arrived in Washington, ISIS was running rampant in the area. We quickly defeated 100% of the ISIS Caliphate,.....","Says ""thousands"" of captured ISIS fighters are ""mostly from Europe."""
112,Those abused girls in Rotherham and elsewhere just need to shut their mouths. For the good of diversity,Those abused girls in Rotherham and elsewhere just need to shut their mouths. For the good of diversity
113,MyElderly [sic] cousin who is 77 years old lives alone in London [sic] Borough of Enfield! He has two bedrooms and receives a 25% discount for a single persons [sic] allowance. He has received a call from Enfield Borough Council asking him to take in a Ukrainian family. He has said he doesn't want to. They have said do you realise we can force you to do it. He said if you force me to share my I would rather burn it down [sic]. He has worked all his life to pay for a small two bedroom house which sometimes the odd family member stays in the spare bedroom as he is elderly. They said if you do not like what we are saying as he Expressed his views they said we can take your 25% allowance away from you,An elderly man was told by Enfield council that his single occupier council tax discount could be removed if he didn’t house a Ukrainian family in his spare room.
